"","qry_gene_id","isMinorIntron","isMinorIR","isMinorAS","isIrFinder","GeneID","NExons","P.Value","FDR"
"390574","KCNK6_1",FALSE,FALSE,FALSE,FALSE,"KCNK6_1",8,4.61871910283102e-08,2.63877851710452e-05
"251731","PEX16_1",TRUE,FALSE,FALSE,FALSE,"PEX16_1",4,1.02233208523688e-07,5.65828861300952e-05
"304189","CGRRF1_1",TRUE,FALSE,FALSE,FALSE,"CGRRF1_1",5,1.38100331604884e-07,7.41180294864878e-05
"326682","GOLGA6L10_2",FALSE,FALSE,FALSE,FALSE,"GOLGA6L10_2",8,1.49182267531237e-07,7.7710798242522e-05
"257683","RNF121_1",TRUE,TRUE,TRUE,TRUE,"RNF121_1",8,2.11659650952221e-07,0.000107105830800423
"276672","TSPAN31_1",TRUE,FALSE,FALSE,FALSE,"TSPAN31_1",2,2.48695414103854e-07,0.000122351235533149
"274811","PFDN5_2",TRUE,FALSE,TRUE,TRUE,"PFDN5_2",2,2.66223924733249e-07,0.000127434917052718
"6973","gene.18",FALSE,FALSE,FALSE,FALSE,"gene.18",6,2.8680294465439e-07,0.000133672814546681
"184833","PDIA4_1",FALSE,FALSE,FALSE,FALSE,"PDIA4_1",7,3.60222771539895e-07,0.00016089281390339
"441677","CD99_3",FALSE,FALSE,FALSE,FALSE,"CD99_3",5,3.63373753945888e-07,0.00016089281390339
"185787","XRCC2_1",FALSE,FALSE,FALSE,FALSE,"XRCC2_1",11,3.79724639216993e-07,0.000164031782565175
"282349","MIR3652_1",FALSE,FALSE,FALSE,FALSE,"MIR3652_1",15,8.644660598175e-07,0.000364537104414946
"411725","LOC124908149",FALSE,FALSE,FALSE,FALSE,"LOC124908149",16,9.10463780466124e-07,0.000375005209670594
"386890","NR2C2AP_1",TRUE,FALSE,FALSE,FALSE,"NR2C2AP_1",4,9.35268635823055e-07,0.000376466882024139
"293","CCNL2_1",FALSE,FALSE,FALSE,FALSE,"CCNL2_1",8,1.16667515395331e-06,0.00045917741448149
"164855","ARL4A_1",FALSE,FALSE,FALSE,FALSE,"ARL4A_1",4,1.65266843867769e-06,0.000636313276465664
"440788","LAGE3_1",TRUE,FALSE,FALSE,FALSE,"LAGE3_1",2,1.70469260153895e-06,0.000642378950337369
"245340","TMEM80_1",TRUE,FALSE,FALSE,FALSE,"TMEM80_1",2,1.83727905699775e-06,0.000668609682700483
"83109","PPP4R2_1",FALSE,FALSE,FALSE,FALSE,"PPP4R2_1",7,1.84980376332921e-06,0.000668609682700483
"39248","gene.103656",FALSE,FALSE,FALSE,FALSE,"gene.103656",2,2.00556316659097e-06,0.000710410584869853
"286316","RNF34_1",FALSE,FALSE,FALSE,FALSE,"RNF34_1",7,2.10026229884726e-06,0.000729367560291841
"114755","PALLD_1",TRUE,FALSE,FALSE,FALSE,"PALLD_1",12,3.06467758263e-06,0.00104381739742231
"283681","TCTN1_1",TRUE,FALSE,TRUE,FALSE,"TCTN1_1",13,3.15901504677677e-06,0.00105564746214082
"226112","ATP5F1C_1",FALSE,FALSE,FALSE,FALSE,"ATP5F1C_1",3,3.26482945605469e-06,0.00105713588852813
"267430","PHB2_1",TRUE,FALSE,FALSE,FALSE,"PHB2_1",2,3.28567038718711e-06,0.00105713588852813
"226364","gene.23609",FALSE,FALSE,FALSE,FALSE,"gene.23609",2,3.34253344009796e-06,0.00105713588852813
"365242","DCAF7_1",FALSE,FALSE,FALSE,FALSE,"DCAF7_1",2,3.69888007806622e-06,0.00114931342215142
"106036","G3BP2_1",FALSE,FALSE,FALSE,FALSE,"G3BP2_1",14,4.44233550450122e-06,0.00135652076069347
"235910","LOC124902456_1",FALSE,FALSE,FALSE,FALSE,"LOC124902456_1",6,5.05384800122682e-06,0.00151341593426596
"90874","gene.76102",FALSE,FALSE,FALSE,FALSE,"gene.76102",2,5.14853744691533e-06,0.00151341593426596
"229128","SVIL-AS1_1",FALSE,FALSE,FALSE,FALSE,"SVIL-AS1_1",12,5.21248783186853e-06,0.00151341593426596
"110547","EXOSC9_1",TRUE,FALSE,FALSE,FALSE,"EXOSC9_1",3,5.75938098952942e-06,0.00162695607925028
"133446","HARS2_1",TRUE,FALSE,FALSE,FALSE,"HARS2_1",7,5.78726401630442e-06,0.00162695607925028
"149164","SLC35B2_1",FALSE,FALSE,FALSE,FALSE,"SLC35B2_1",5,5.95480399748565e-06,0.00164789896249169
"239543","MORN4_1",FALSE,FALSE,FALSE,FALSE,"MORN4_1",3,6.08663049360922e-06,0.00165846634880481
"275992","STAT2_1",FALSE,FALSE,FALSE,FALSE,"STAT2_1",7,6.35996487911883e-06,0.00170668693900112
"239575","PI4K2A_1",FALSE,FALSE,FALSE,FALSE,"PI4K2A_1",10,6.63984866286955e-06,0.00175519939803108
"6626","TRNP1_1",FALSE,FALSE,FALSE,FALSE,"TRNP1_1",7,6.85434502173832e-06,0.00178525448058834
"181949","ZC3HC1_1",TRUE,FALSE,FALSE,FALSE,"ZC3HC1_1",7,7.18394784903411e-06,0.00184398406310497
"328708","UNC45A_1",FALSE,FALSE,FALSE,FALSE,"UNC45A_1",5,9.26106452493339e-06,0.00234318162572993
"288706","GOLGA3_1",FALSE,FALSE,FALSE,FALSE,"GOLGA3_1",12,1.26250973854496e-05,0.00314933943371405
"306293","GPHN_1",FALSE,FALSE,FALSE,FALSE,"GPHN_1",6,1.30584848951387e-05,0.00321220591635836
"370355","PYCR1_1",FALSE,FALSE,FALSE,FALSE,"PYCR1_1",6,1.45560718092738e-05,0.00353154229882258
"63759","GLS_1",FALSE,FALSE,FALSE,FALSE,"GLS_1",8,1.54963978559533e-05,0.00368291534381364
"43162","GPN1_1",TRUE,FALSE,FALSE,FALSE,"GPN1_1",2,1.5595881135228e-05,0.00368291534381364
"233731","MIR1296_1",FALSE,FALSE,FALSE,FALSE,"MIR1296_1",10,1.70107418159041e-05,0.00396417431975628
"414020","URB1_1",FALSE,FALSE,FALSE,FALSE,"URB1_1",7,1.80881740295989e-05,0.00416051493815878
"158439","CCDC28A_1",TRUE,FALSE,FALSE,TRUE,"CCDC28A_1",2,1.92508580799409e-05,0.00437117881351069
"186042","INSIG1_1",TRUE,TRUE,TRUE,FALSE,"INSIG1_1",8,2.00975991518096e-05,0.00450567820984429
"400911","VPS16_1",TRUE,FALSE,FALSE,TRUE,"VPS16_1",5,2.28933074416442e-05,0.00506829210123701
"347801","AFG3L1P_1",FALSE,FALSE,FALSE,FALSE,"AFG3L1P_1",9,2.34885257519581e-05,0.00513586764929543
"129260","DCP2_1",TRUE,FALSE,FALSE,FALSE,"DCP2_1",5,2.49981667875696e-05,0.0053992991704225
"374761","FHOD3_1",FALSE,FALSE,FALSE,FALSE,"FHOD3_1",6,2.70566067584157e-05,0.00577348870238916
"394024","LOC124908086",FALSE,FALSE,FALSE,FALSE,"LOC124908086",24,2.76145313975438e-05,0.00582239244740356
"353451","ALDH3A2_1",FALSE,FALSE,FALSE,FALSE,"ALDH3A2_1",6,2.80788987232419e-05,0.00585065147396867
"70823","TRAF3IP1_1",FALSE,FALSE,FALSE,FALSE,"TRAF3IP1_1",4,3.74239924708182e-05,0.0077071666354728
"281993","DRAM1_1",TRUE,FALSE,TRUE,FALSE,"DRAM1_1",8,4.21198017344019e-05,0.00857452653468956
"438851","PHF6_1",FALSE,FALSE,FALSE,FALSE,"PHF6_1",5,4.32337560388384e-05,0.00870128469549849
"176454","SLC25A13_1",FALSE,FALSE,FALSE,FALSE,"SLC25A13_1",4,4.49182812517578e-05,0.0089387379690998
"386451","LOC105372300_1",FALSE,FALSE,FALSE,FALSE,"LOC105372300_1",3,5.10571965955276e-05,0.0100474889878154
"305502","PPP2R5E_1",FALSE,FALSE,FALSE,FALSE,"PPP2R5E_1",4,5.50149017649014e-05,0.0107073508259139
"374878","KIAA1328_1",TRUE,FALSE,FALSE,FALSE,"KIAA1328_1",3,5.80015784274684e-05,0.0111659342992271
"256033","BRMS1_1",TRUE,FALSE,FALSE,FALSE,"BRMS1_1",3,5.87021019599827e-05,0.0111792787936909
"49023","gene.17133",FALSE,FALSE,FALSE,FALSE,"gene.17133",2,5.98316357664333e-05,0.0112731712878649
"357760","CACNB1_1",FALSE,FALSE,FALSE,FALSE,"CACNB1_1",4,6.11916733879629e-05,0.011384734204841
"361077","KANSL1_3",FALSE,FALSE,FALSE,FALSE,"KANSL1_3",13,6.17093604914877e-05,0.011384734204841
"338342","SLX1A-SULT1A3_1",FALSE,FALSE,FALSE,FALSE,"SLX1A-SULT1A3_1",10,7.54383913232781e-05,0.0137741169971812
"254726","RTN3_1",FALSE,FALSE,FALSE,FALSE,"RTN3_1",6,8.30177966927215e-05,0.0149725578662396
"23054","PIP5K1A_1",FALSE,FALSE,FALSE,FALSE,"PIP5K1A_1",8,8.36928027077929e-05,0.0149725578662396
"7849","CCDC28B_1",FALSE,FALSE,FALSE,FALSE,"CCDC28B_1",3,8.69871258895528e-05,0.0154062898662987
"393805","SNRPD2_1",FALSE,FALSE,FALSE,FALSE,"SNRPD2_1",5,9.20396331590052e-05,0.0161397420087044
"282922","gene.935",FALSE,FALSE,FALSE,FALSE,"gene.935",3,9.3129552045156e-05,0.0161707597673702
"95299","gene.4041",FALSE,FALSE,FALSE,FALSE,"gene.4041",2,9.63897625117863e-05,0.0165743600373422
"262590","DLAT_1",FALSE,FALSE,FALSE,FALSE,"DLAT_1",8,0.00010071563311295,0.0171516786352256
"92622","CCNL1_1",FALSE,FALSE,FALSE,FALSE,"CCNL1_1",5,0.000112249773694193,0.0189338642085509
"391168","gene.13005",FALSE,FALSE,FALSE,FALSE,"gene.13005",8,0.000120024263027411,0.0200542426648913
"91565","PFN2_1",FALSE,FALSE,FALSE,FALSE,"PFN2_1",2,0.000123302638207766,0.0204094675261471
"80040","DCAF1_1",FALSE,FALSE,FALSE,FALSE,"DCAF1_1",17,0.000128199830622505,0.0210235851866221
"294153","WDFY2_1",TRUE,FALSE,FALSE,FALSE,"WDFY2_1",6,0.000134411522558767,0.0216771028829715
"7165","GMEB1_1",FALSE,FALSE,FALSE,FALSE,"GMEB1_1",8,0.000135771482032642,0.0216771028829715
"275724","LOC124902941_1",FALSE,FALSE,FALSE,FALSE,"LOC124902941_1",7,0.000135856722941101,0.0216771028829715
"440828","G6PD_1",FALSE,FALSE,FALSE,FALSE,"G6PD_1",3,0.000139160241279745,0.022005955654514
"58468","gene.47823",FALSE,FALSE,FALSE,FALSE,"gene.47823",3,0.000142833880432525,0.0222608883406745
"352831","DRG2_1",TRUE,FALSE,FALSE,FALSE,"DRG2_1",3,0.000143286165142391,0.0222608883406745
"152845","RARS2_1",FALSE,FALSE,FALSE,FALSE,"RARS2_1",11,0.000148805182107271,0.0227476657974303
"208700","NFX1_1",FALSE,FALSE,FALSE,FALSE,"NFX1_1",6,0.000150559381807296,0.0227476657974303
"9740","CAP1_1",FALSE,FALSE,FALSE,FALSE,"CAP1_1",12,0.00015187788421418,0.0227476657974303
"21348","POLR3C_1",TRUE,FALSE,FALSE,FALSE,"POLR3C_1",6,0.000152199987023999,0.0227476657974303
"385000","PRKACA_2",FALSE,FALSE,FALSE,FALSE,"PRKACA_2",4,0.000152841298057377,0.0227476657974303
"6130","MIR3917_1",FALSE,FALSE,FALSE,FALSE,"MIR3917_1",12,0.000185691783117105,0.0274065597565587
"80694","CACNA1D_1",TRUE,FALSE,FALSE,FALSE,"CACNA1D_1",3,0.000188111940914158,0.0275343023597575
"92339","gene.18628",TRUE,FALSE,FALSE,FALSE,"gene.18628",3,0.000192043908253781,0.0278794234351043
"9764","TRIT1_1",FALSE,FALSE,FALSE,FALSE,"TRIT1_1",10,0.000198250792874419,0.0285465023788524
"38023","FMN2_1",FALSE,FALSE,FALSE,FALSE,"FMN2_1",2,0.000205191403956981,0.0293076206087265
"159594","PPIL4_1",TRUE,FALSE,FALSE,FALSE,"PPIL4_1",4,0.000206954952486042,0.0293230333078423
"175691","CLDN12_1",FALSE,FALSE,FALSE,FALSE,"CLDN12_1",5,0.000212487150895579,0.0298679359485047
"328335","AP3S2_1",FALSE,FALSE,FALSE,FALSE,"AP3S2_1",7,0.000222444587065991,0.0310213864687068
"103393","TMEM33_1",TRUE,FALSE,FALSE,FALSE,"TMEM33_1",4,0.00022915560085368,0.0316631669333566
"113649","FGB_1",FALSE,FALSE,FALSE,FALSE,"FGB_1",6,0.000232184879524963,0.0316631669333566
"430930","RBM10_1",FALSE,FALSE,FALSE,FALSE,"RBM10_1",7,0.000232409897879078,0.0316631669333566
"90783","XRN1_1",FALSE,FALSE,FALSE,FALSE,"XRN1_1",3,0.00023915705058614,0.0321217374375657
"231970","LOC124906897",FALSE,FALSE,FALSE,FALSE,"LOC124906897",9,0.00023979289851854,0.0321217374375657
"187337","CTSB_2",FALSE,FALSE,FALSE,FALSE,"CTSB_2",10,0.000243466790600062,0.0321217374375657
"167116","NOD1_1",FALSE,FALSE,FALSE,FALSE,"NOD1_1",6,0.000243722587279667,0.0321217374375657
"348264","PITPNA_1",FALSE,FALSE,FALSE,FALSE,"PITPNA_1",3,0.000244844139465382,0.0321217374375657
"11005","KIF2C_1",FALSE,FALSE,FALSE,FALSE,"KIF2C_1",4,0.000250698085258349,0.0326478955000781
"14907","DEPDC1_1",FALSE,FALSE,FALSE,FALSE,"DEPDC1_1",2,0.00025762270789504,0.0331688586142009
"387812","RPSAP58_1",FALSE,FALSE,FALSE,FALSE,"RPSAP58_1",31,0.000258444045438412,0.0331688586142009
"360287","gene.1170",TRUE,FALSE,TRUE,TRUE,"gene.1170",2,0.000264047390889715,0.033644196690991
"274152","POU6F1_1",FALSE,FALSE,FALSE,FALSE,"POU6F1_1",2,0.000276369807988329,0.0347298882073437
"236709","gene.753",FALSE,FALSE,FALSE,FALSE,"gene.753",2,0.000276489991374596,0.0347298882073437
"185268","REPIN1_1",FALSE,FALSE,FALSE,FALSE,"REPIN1_1",29,0.000283151065445563,0.0353161163387772
"2117","UBE4B_1",FALSE,FALSE,FALSE,FALSE,"UBE4B_1",8,0.000299396296976826,0.0370811735367592
"70686","LRRFIP1_1",FALSE,FALSE,FALSE,FALSE,"LRRFIP1_1",9,0.000302067786231687,0.0371522400135376
"153809","PNISR_1",FALSE,FALSE,FALSE,FALSE,"PNISR_1",13,0.000305928727339928,0.0373676116546032
"277356","gene.25434",FALSE,FALSE,FALSE,FALSE,"gene.25434",6,0.000313621732468431,0.0378092231861989
"275218","SMUG1_1",FALSE,FALSE,FALSE,FALSE,"SMUG1_1",13,0.000315374843743867,0.0378092231861989
"384615","STX10_1",TRUE,TRUE,FALSE,FALSE,"STX10_1",4,0.000317982846909313,0.0378092231861989
"339224","ARMC5_1",FALSE,FALSE,FALSE,FALSE,"ARMC5_1",10,0.000318083352421864,0.0378092231861989
"33862","SMYD2_1",TRUE,FALSE,FALSE,FALSE,"SMYD2_1",4,0.000321650704151845,0.0379783708082221
"19146","AHCYL1_1",FALSE,FALSE,FALSE,FALSE,"AHCYL1_1",4,0.000338171225632887,0.0396645733588349
"425730","ALG12_1",FALSE,FALSE,FALSE,FALSE,"ALG12_1",3,0.00035645396258857,0.0415339219171458
"135116","NDST1_1",FALSE,FALSE,FALSE,FALSE,"NDST1_1",3,0.000369522899870494,0.0424137331593341
"142447","ATXN1_1",FALSE,FALSE,FALSE,FALSE,"ATXN1_1",16,0.000370843021139595,0.0424137331593341
"389472","PROSER3_1",FALSE,FALSE,FALSE,FALSE,"PROSER3_1",18,0.000371189014719485,0.0424137331593341
"133426","WDR55_1",FALSE,FALSE,FALSE,FALSE,"WDR55_1",4,0.000379500670452142,0.0430854895793454
"194862","ASPH_1",FALSE,FALSE,FALSE,FALSE,"ASPH_1",11,0.000389500384201563,0.04393911658977
"91337","HLTF_1",FALSE,FALSE,FALSE,FALSE,"HLTF_1",4,0.000405632639582496,0.045469365061048
"349844","DERL2_1",TRUE,TRUE,TRUE,FALSE,"DERL2_1",6,0.00041194302059896,0.0456667533157389
"325748","PEAK1_1",FALSE,FALSE,FALSE,FALSE,"PEAK1_1",11,0.000412550422365662,0.0456667533157389
"204198","PUF60_2",FALSE,FALSE,FALSE,FALSE,"PUF60_2",11,0.000431484376595444,0.0474659614526826
"402201","SNAP25_1",FALSE,FALSE,FALSE,FALSE,"SNAP25_1",11,0.000440862373504178,0.0481982314637809
"125786","gene.35952",TRUE,FALSE,FALSE,FALSE,"gene.35952",2,0.000446257272544493,0.0484506174338826
"239448","EXOSC1_1",TRUE,FALSE,FALSE,FALSE,"EXOSC1_1",7,0.000448642157933304,0.0484506174338826
"249269","SVIP_1",FALSE,FALSE,FALSE,FALSE,"SVIP_1",3,0.000454823730911617,0.048820503625307
"201512","NDUFB9_2",FALSE,FALSE,FALSE,FALSE,"NDUFB9_2",4,0.000460742453884239,0.0490181437735248
"131428","ZCCHC10_1",FALSE,FALSE,FALSE,FALSE,"ZCCHC10_1",12,0.000463394603982483,0.0490181437735248
"388537","ANKRD27_1",FALSE,FALSE,FALSE,FALSE,"ANKRD27_1",12,0.000464967994689863,0.0490181437735248
"380924","HDGFL2_1",FALSE,FALSE,FALSE,FALSE,"HDGFL2_1",5,0.000470716611748126,0.0493305438501246
"235102","ASCC1_1",FALSE,FALSE,FALSE,FALSE,"ASCC1_1",12,0.000476956436274933,0.0496904437815608
"183272","gene.51380",FALSE,FALSE,FALSE,FALSE,"gene.51380",3,0.000493819921231935,0.0511212436493
"168050","ANLN_1",FALSE,FALSE,FALSE,FALSE,"ANLN_1",3,0.000496462870966043,0.0511212436493
"366096","CEP112_1",FALSE,FALSE,FALSE,FALSE,"CEP112_1",8,0.000503126979509367,0.051507988058326
"182668","SLC35B4_1",TRUE,TRUE,FALSE,TRUE,"SLC35B4_1",2,0.000547945212890147,0.0550105891427042
"16182","SSX2IP_1",FALSE,FALSE,FALSE,FALSE,"SSX2IP_1",4,0.000548586057628156,0.0550105891427042
"344683","ZFHX3_1",FALSE,FALSE,FALSE,FALSE,"ZFHX3_1",10,0.000548955549664773,0.0550105891427042
"368471","JMJD6_1",FALSE,FALSE,FALSE,FALSE,"JMJD6_1",4,0.000549764230041141,0.0550105891427042
"281152","NEDD1_1",TRUE,FALSE,TRUE,FALSE,"NEDD1_1",6,0.000564640065804248,0.0561816865475227
"414967","HLCS-AS1_1",FALSE,FALSE,FALSE,FALSE,"HLCS-AS1_1",2,0.00057637112412376,0.056954423116524
"4732","EIF4G3_1",TRUE,FALSE,FALSE,FALSE,"EIF4G3_1",18,0.000578837793516702,0.056954423116524
"345918","gene.11352",FALSE,FALSE,FALSE,FALSE,"gene.11352",2,0.000589055285095618,0.0576395478139695
"340433","HNRNPA1L3_1",FALSE,FALSE,FALSE,FALSE,"HNRNPA1L3_1",6,0.000600100915021252,0.0583977324502275
"24419","ASH1L_1",FALSE,FALSE,FALSE,FALSE,"ASH1L_1",6,0.000607447979497745,0.0587896784966369
"91495","gene.18601",FALSE,FALSE,FALSE,FALSE,"gene.18601",2,0.000621225160562778,0.059733901704937
"130607","SLC12A2-DT_1",FALSE,FALSE,FALSE,FALSE,"SLC12A2-DT_1",13,0.000623949625397399,0.059733901704937
"259650","CCDC90B_1",FALSE,FALSE,FALSE,FALSE,"CCDC90B_1",7,0.000637448136189912,0.0606980856992448
"345328","TMEM231_1",TRUE,FALSE,FALSE,FALSE,"TMEM231_1",3,0.000642034104241848,0.0608078396803603
"18334","SLC30A7_1",FALSE,FALSE,FALSE,FALSE,"SLC30A7_1",3,0.000647465023606631,0.0609960267717928
"285505","RFC5_1",TRUE,FALSE,FALSE,FALSE,"RFC5_1",6,0.000656700757991252,0.0615387678559951
"283929","ATXN2_1",FALSE,FALSE,FALSE,FALSE,"ATXN2_1",8,0.000663048027025738,0.0618065452981729
"436296","gene.59106",FALSE,FALSE,FALSE,FALSE,"gene.59106",2,0.000667321626190359,0.0618769721733111
"120135","gene.49477",FALSE,FALSE,FALSE,FALSE,"gene.49477",3,0.000670790958007777,0.0618769721733111
"212070","gene.693",FALSE,FALSE,FALSE,FALSE,"gene.693",3,0.000684994438824224,0.0628018487989638
"249096","NAV2_1",FALSE,FALSE,FALSE,FALSE,"NAV2_1",5,0.000687909133702161,0.0628018487989638
"101227","DCAF16_1",FALSE,FALSE,FALSE,FALSE,"DCAF16_1",8,0.000724460502897658,0.0653152354137767
"22765","HORMAD1_1",FALSE,FALSE,FALSE,FALSE,"HORMAD1_1",8,0.000726113238455654,0.0653152354137767
"197079","gene.6990",FALSE,FALSE,FALSE,FALSE,"gene.6990",3,0.000727233989345575,0.0653152354137767
"28160","gene.2129",FALSE,FALSE,FALSE,FALSE,"gene.2129",2,0.000730191215172932,0.0653152354137767
"24476","ASH1L-AS1_1",FALSE,FALSE,FALSE,FALSE,"ASH1L-AS1_1",10,0.000751067954305033,0.066845047933148
"352954","SMCR8_2",FALSE,FALSE,FALSE,FALSE,"SMCR8_2",4,0.000766232882352444,0.0678537528967207
"363361","PCTP_1",TRUE,FALSE,FALSE,FALSE,"PCTP_1",5,0.000772871228518844,0.0681011061109316
"301083","SCFD1_1",FALSE,FALSE,FALSE,FALSE,"SCFD1_1",7,0.000783222967461791,0.0686715939441375
"1996","PIK3CD-AS2_1",FALSE,FALSE,FALSE,FALSE,"PIK3CD-AS2_1",3,0.000792158487696699,0.0691129013576169
"96507","LPP_1",FALSE,FALSE,FALSE,FALSE,"LPP_1",22,0.000800449031596077,0.0694938862676379
"379467","GPX4_1",FALSE,FALSE,FALSE,FALSE,"GPX4_1",4,0.00081741914345414,0.0703740597611174
"94228","gene.4016",FALSE,FALSE,FALSE,FALSE,"gene.4016",5,0.000818534035954501,0.0703740597611174
"248691","SERGEF_1",FALSE,FALSE,FALSE,FALSE,"SERGEF_1",7,0.000830245969341471,0.0710361660048637
"258119","FAM168A_1",FALSE,FALSE,FALSE,FALSE,"FAM168A_1",8,0.00086871472680815,0.073970223685092
"276730","CTDSP2_1",FALSE,FALSE,FALSE,FALSE,"CTDSP2_1",2,0.000902624087630133,0.07621220305896
"299029","BMS1P17_1",FALSE,FALSE,FALSE,FALSE,"BMS1P17_1",8,0.00090365098765635,0.07621220305896
"251499","ALX4_1",FALSE,FALSE,FALSE,FALSE,"ALX4_1",2,0.000937734624338362,0.0787119333253874
"130923","HINT1_1",FALSE,FALSE,FALSE,FALSE,"HINT1_1",5,0.000944860371307002,0.0789359530010297
"51789","gene.2830",FALSE,FALSE,FALSE,FALSE,"gene.2830",5,0.000963923215121324,0.0801504416103933
"11765","EFCAB14_1",FALSE,FALSE,FALSE,FALSE,"EFCAB14_1",3,0.00101181376306562,0.08357109534927
"194688","gene.6924",FALSE,FALSE,FALSE,FALSE,"gene.6924",8,0.0010144986449152,0.08357109534927
"388558","NUDT19_1",FALSE,FALSE,FALSE,FALSE,"NUDT19_1",22,0.00102769104511695,0.0840510890324184
"81789","FHIT_1",TRUE,FALSE,FALSE,FALSE,"FHIT_1",5,0.00103266301638451,0.0840510890324184
"247855","MICAL2_1",FALSE,FALSE,FALSE,FALSE,"MICAL2_1",6,0.00103456255485671,0.0840510890324184
"215484","WNK2_1",FALSE,FALSE,FALSE,FALSE,"WNK2_1",4,0.0010421733051639,0.0842827918162459
"396219","AKT1S1_1",FALSE,FALSE,FALSE,FALSE,"AKT1S1_1",8,0.00106745099846373,0.0859346574263237
"218951","HDHD3_1",FALSE,FALSE,FALSE,FALSE,"HDHD3_1",4,0.00108145413104927,0.0866680276697452
"171386","RABGEF1_1",FALSE,FALSE,FALSE,FALSE,"RABGEF1_1",20,0.00108857348691038,0.0868456082282423
"132717","gene.49930",FALSE,FALSE,FALSE,FALSE,"gene.49930",2,0.0011070141659878,0.0876130737581735
"14349","CACHD1_1",FALSE,FALSE,FALSE,FALSE,"CACHD1_1",2,0.00110808698107565,0.0876130737581735
